,dir,accuracies,packsRaw
112,rogrezende-titanic-sinking-analysis,0.6950000000000001,"{'c(""package:colorspace"", ""package:graphics"")': ['plot'], 'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows'], 'package:ggplot2': ['aes', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_histogram', 'geom_hline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['legend', 'mosaicplot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv'], 'package:VIM': ['aggr']}"
113,qianbi-titanic-randomforest,0.766,"{'package:base': ['c', 'factor', 'gsub', 'ifelse', 'lapply', 'library', 'nrow'], 'package:dplyr': ['bind_rows'], 'package:mice': ['complete', 'mice'], 'package:randomForest': ['randomForest'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'write.csv']}"
114,kazimanil-titanic-submission,0.5750000000000001,"{'character(0)': ['.', '`:=`', '`colnames<-`', 'NBCalc'], 'package:base': ['apply', 'as.character', 'as.factor', 'as.numeric', 'assign', 'c', 'cbind', 'ceiling', 'character', 'colnames', 'cut', 'gc', 'get', 'gsub', 'ifelse', 'integer', 'is.character', 'is.na', 'is.numeric', 'library', 'log10', 'ls', 'max', 'mean', 'merge', 'ncol', 'nrow', 'numeric', 'order', 'paste0', 'pmin', 'rbind', 'return', 'rm', 'sample', 'seq', 'stopifnot', 'substr', 'summary', 't', 'trimws', 'unique', 'which'], 'package:class': ['knn'], 'package:data.table': ['as.data.table', 'data.table', 'fread', 'fwrite'], 'package:graphics': ['plot', 'text'], 'package:partykit': ['ctree', 'ctree_control'], 'package:rpart': ['plotcp', 'printcp', 'rpart'], 'package:stats': ['aov', 'binomial', 'glm', 'predict', 'predict.glm', 'sd', 'step'], 'package:stringr': ['str_split_fixed']}"
115,vizcharlie-exploring-survival-on-the-titanic,0.52,"{'character(0)': ['classify', 'extractFamily', 'extractTitle', 'test_statistics', 'trainAndCrossValidate'], 'package:base': ['all', 'any', 'as.character', 'c', 'cat', 'cbind', 'character', 'data.frame', 'factor', 'is.element', 'is.na', 'lapply', 'length', 'library', 'list', 'mean', 'nrow', 'rbind', 'Reduce', 'rep', 'return', 'round', 'sample', 'sapply', 'set.seed', 'strsplit', 'table', 'unique', 'which'], 'package:e1071': ['svm', 'tune', 'tune.control'], 'package:ggplot2': ['aes', 'geom_line', 'geom_point', 'ggplot', 'labs'], 'package:reshape2': ['melt'], 'package:stats': ['fitted', 'lm', 'poly', 'predict'], 'package:utils': ['read.csv', 'write.table']}"
116,vibhasg-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
117,mullayilkannan-decision-tree-titanic,0.764,"{'package:base': ['attach', 'data.frame', 'diag', 'floor', 'library', 'nrow', 'print', 'sample', 'seq_len', 'set.seed', 'sum', 'summary', 'table'], 'package:graphics': ['plot', 'text'], 'package:rpart': ['rpart'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'write.csv']}"
118,qianbi-titanic-logistic-2,0.769,"{'package:base': ['c', 'factor', 'gsub', 'ifelse', 'lapply', 'library', 'nrow', 'round'], 'package:dplyr': ['bind_rows'], 'package:mice': ['complete', 'mice'], 'package:stats': ['glm', 'predict'], 'package:utils': ['read.csv', 'write.table']}"
119,jeetranjeet619-titanic-dataset-play-around-in-r,0.769,"{'c(""package:mice"", ""package:base"")': ['cbind'], 'package:base': ['as.factor', 'as.numeric', 'as.ordered', 'c', 'colnames', 'colSums', 'data.frame', 'expand.grid', 'factor', 'grepl', 'is.na', 'library', 'max', 'mean', 'min', 'nrow', 'options', 'print', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'subset', 'sum', 'summary', 'Sys.time', 'table', 'which'], 'package:caret': ['confusionMatrix', 'train', 'trainControl'], 'package:caTools': ['sample.split'], 'package:dplyr': ['bind_rows', 'glimpse'], 'package:e1071': ['naiveBayes', 'svm'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_label', 'geom_text', 'geom_vline', 'ggplot', 'ggtitle', 'labs', 'position_dodge', 'position_stack', 'scale_x_continuous', 'xlab'], 'package:ggthemes': ['theme_few'], 'package:glue': ['glue'], 'package:graphics': ['legend', 'mosaicplot', 'plot'], 'package:mice': ['md.pattern'], 'package:randomForest': ['importance', 'randomForest'], 'package:stats': ['glm', 'median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'write.csv']}"
120,caleblau-predicting-survival-on-the-titanic,0.771,"{'character(0)': ['set'], 'package:base': ['c', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'row.names', 'sapply', 'set.seed', 'sum', 'table'], 'package:dplyr': ['arrange', 'bind_rows', 'desc'], 'package:ggplot2': ['aes', 'geom_bar', 'geom_histogram', 'ggplot', 'labs', 'scale_fill_manual'], 'package:graphics': ['plot'], 'package:gridExtra': ['grid.arrange'], 'package:mice': ['complete', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
121,oldflag-exploring-survival-on-the-titanic-inr-frommegan,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'dim', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
122,panda1023-svm-example-for-titanic,0.774,"{'character(0)': ['extractFeatures'], 'package:base': ['as.factor', 'c', 'data.frame', 'is.na', 'library', 'return', 'set.seed'], 'package:e1071': ['svm'], 'package:stats': ['median', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
123,zakhumalo-fork-of-titanic-problem-attempt-1,0.79,"{'package:base': ['colnames', 'colSums', 'data.frame', 'dim', 'is.na', 'library', 'list.files', 'mean', 'prop.table', 'rbind', 'round', 'summary', 'table'], 'package:rattle': ['fancyRpartPlot'], 'package:rpart': ['rpart'], 'package:stats': ['complete.cases', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
124,narinder-titanic-survival-prediction,0.774,"{'package:base': ['c', 'cbind', 'data.frame', 'ifelse', 'is.na', 'is.numeric', 'library', 'mean', 'names', 'ncol', 'set.seed', 'summary', 'system'], 'package:pROC': ['auc'], 'package:readr': ['write_csv'], 'package:stats': ['binomial', 'glm', 'predict'], 'package:utils': ['read.csv']}"
125,jprukundo-titanic-in-r-with-naive-bayes-of-mlr-package,0.771,"{'package:base': ['as.data.frame', 'c', 'cbind', 'colnames', 'library'], 'package:mlr': ['makeClassifTask', 'makeLearner', 'train'], 'package:stats': ['predict'], 'package:utils': ['head', 'read.csv', 'write.csv']}"
126,brirush-randomforest-implementation-of-titanic,0.788,"{'package:base': ['as.factor', 'as.numeric', 'c', 'cbind', 'colnames', 'data.frame', 'is.na', 'levels', 'library', 'summary', 'typeof'], 'package:randomForest': ['randomForest'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
127,zhaotianjing-titanic,0.668,"{'package:base': ['data.frame', 'rep', 'table'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
128,lashkare-simple-yet-effective-titanic-solution,0.786,"{'character(0)': ['percent'], 'package:base': ['apply', 'as.character', 'as.factor', 'c', 'cat', 'data.frame', 'factor', 'is.na', 'library', 'list', 'ls', 'merge', 'order', 'rbind', 'rm', 'round', 'sapply', 'set.seed', 'strsplit', 'sub', 'sum', 'summary', 'table', 'which'], 'package:ggplot2': ['aes', 'facet_grid', 'facet_wrap', 'geom_bar', 'geom_density', 'geom_dotplot', 'geom_histogram', 'geom_text', 'ggplot', 'ggtitle', 'labs', 'scale_x_continuous'], 'package:randomForest': ['importance', 'randomForest', 'varImpPlot'], 'package:stats': ['aggregate', 'median', 'predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
129,econdata-titanic-datasets-ml-with-r-journey-to-top-1,0.92,"{'character(0)': ['extractFeatures', 'gp'], 'package:base': ['as.character', 'as.numeric', 'c', 'cos', 'data.frame', 'exp', 'ifelse', 'is.na', 'lapply', 'length', 'library', 'list.files', 'NROW', 'pmax', 'pmin', 'print', 'rep', 'return', 'round', 'sin', 'substr', 'tanh'], 'package:Metrics': ['accuracy', 'logLoss'], 'package:utils': ['read.csv', 'write.csv']}"
130,retrospectprospect-titanic-machine-learning-from-eda-to-xgb,0.783,"{'c(""package:dplyr"", ""package:base"")': ['setdiff'], 'c(""package:dplyr"", ""package:stats"")': ['filter'], 'c(""package:dplyr"", ""package:tibble"")': ['glimpse'], 'c(""package:modeltools"", ""package:base"")': ['subset'], 'c(""package:stats4"", ""package:colorspace"", ""package:graphics"")': ['plot'], 'character(0)': ['data.table', 'set'], 'package:alluvial': ['alluvial'], 'package:base': ['apply', 'as.factor', 'as.matrix', 'as.numeric', 'c', 'cbind', 'colnames', 'data.frame', 'ifelse', 'is.na', 'length', 'library', 'list', 'mean', 'nrow', 'order', 'paste0', 'print', 'rbind', 'replace', 'round', 'sample', 'seq', 'set.seed', 'sum', 'unique', 'which'], 'package:corrplot': ['corrplot.mixed'], 'package:dplyr': ['case_when', 'funs', 'group_by', 'mutate', 'mutate_all', 'mutate_if', 'n', 'rename', 'select', 'select_if', 'summarise'], 'package:ggplot2': ['aes', 'element_text', 'geom_bar', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_vline', 'ggplot', 'ggtitle', 'scale_colour_brewer', 'scale_fill_brewer', 'scale_y_continuous', 'theme', 'theme_minimal', 'ylab'], 'package:knitr': ['kable'], 'package:MLmetrics': ['Accuracy'], 'package:party': ['ctree', 'ctree_control'], 'package:readr': ['read_csv'], 'package:stats': ['cor', 'predict'], 'package:stringr': ['str_locate', 'str_sub'], 'package:utils': ['head', 'write.csv'], 'package:vcd': ['mosaic'], 'package:VIM': ['aggr'], 'package:xgboost': ['xgb.DMatrix', 'xgb.train']}"
131,terfilip-titanic,0.783,"{'character(0)': ['fill_age', 'get_mode'], 'package:base': ['as.character', 'as.factor', 'as.vector', 'c', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'length', 'library', 'max', 'names', 'print', 'rbind', 'round', 'sapply', 'strsplit', 'table', 'which'], 'package:randomForest': ['randomForest', 'varImpPlot'], 'package:stats': ['lm', 'median', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
132,caliphcheng-titanic-analysis-using-r,0.778,"{'c(""package:mice"", ""package:base"")': ['cbind', 'rbind'], 'c(""package:tidyr"", ""package:mice"")': ['complete'], 'character(0)': ['class_assess'], 'package:base': ['apply', 'as.data.frame', 'as.factor', 'c', 'data.frame', 'diag', 'gsub', 'is.na', 'library', 'names', 'nrow', 'return', 'set.seed', 'sum', 'table'], 'package:caret': ['predict.train', 'train', 'trainControl'], 'package:ggplot2': ['aes', 'ggplot', 'position_dodge', 'stat_bin'], 'package:mice': ['mice'], 'package:purrr': ['map_df'], 'package:tidyr': ['gather'], 'package:utils': ['read.csv', 'write.csv']}"
133,ccheng2016-titanic-survival,0.764,"{'c(""package:stats4"", ""package:base"")': ['summary'], 'c(""package:stats4"", ""package:graphics"")': ['plot'], 'package:base': ['as.character', 'as.factor', 'c', 'data.frame', 'factor', 'is.na', 'length', 'library', 'list.files', 'nrow', 'paste', 'print', 'prop.table', 'rbind', 'rep', 'sample', 'sapply', 'set.seed', 'strsplit', 'sub', 'sum', 'table', 'which'], 'package:graphics': ['text'], 'package:grDevices': ['dev.copy', 'dev.off'], 'package:randomForest': ['randomForest', 'varImpPlot'], 'package:rattle': ['fancyRpartPlot'], 'package:rpart': ['rpart'], 'package:stats': ['aggregate', 'formula', 'median', 'predict'], 'package:utils': ['head', 'read.table', 'str', 'write.csv']}"
134,mmaguero-titanic-majority-vote-of-ridge-rf-and-gbm,0.778,"{'c(""package:Matrix"", ""package:base"")': ['which'], 'c(""package:stats4"", ""package:Matrix"", ""package:base"")': ['summary'], 'character(0)': ['extractCabin', 'extractFeatures', 'extractTicket', 'readData', 'set'], 'package:base': ['as.character', 'as.factor', 'as.numeric', 'c', 'cat', 'data.frame', 'expand.grid', 'factor', 'gsub', 'is.na', 'library', 'names', 'nrow', 'paste', 'prop.table', 'rbind', 'return', 'sapply', 'set.seed', 'sort', 'strsplit', 'sub', 'substr', 'sum', 'table', 'toupper'], 'package:caret': ['train', 'trainControl'], 'package:ggplot2': ['aes', 'facet_grid', 'geom_bar', 'geom_density', 'geom_histogram', 'ggplot'], 'package:glmnet': ['cv.glmnet'], 'package:party': ['cforest', 'cforest_unbiased'], 'package:rpart': ['rpart'], 'package:stats': ['median', 'model.matrix', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
135,biohazzzard-titanic-with-tidyverse-and-caret,0.766,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'character(0)': ['get_mode'], 'package:base': ['apply', 'as.factor', 'as.numeric', 'c', 'expand.grid', 'is.na', 'library', 'list', 'max', 'names', 'nrow', 'rbind', 'return', 'round', 'sapply', 'seq', 'summary', 'table'], 'package:caret': ['createDataPartition', 'train', 'trainControl'], 'package:dplyr': ['group_by', 'mutate', 'select', 'summarise'], 'package:forcats': ['fct_lump', 'fct_recode'], 'package:ggplot2': ['aes', 'geom_density', 'geom_histogram', 'geom_point', 'geom_vline', 'ggplot', 'labs', 'position_dodge', 'theme_bw'], 'package:stats': ['median', 'predict'], 'package:stringr': ['str_split'], 'package:tidyr': ['replace_na'], 'package:utils': ['read.csv', 'tail', 'write.csv']}"
136,brirush-naive-bayes-for-titanic,0.781,"{'package:base': ['as.factor', 'cbind', 'colnames', 'data.frame', 'library', 'summary'], 'package:e1071': ['naiveBayes'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
137,ammara-titanic-competition-using-boosting,0.783,"{'character(0)': ['feature_eng'], 'package:base': ['as.character', 'c', 'data.frame', 'factor', 'ifelse', 'is.na', 'library', 'nrow', 'paste', 'rbind', 'return', 'sapply', 'seq', 'set.seed', 'strsplit', 'sub', 'sum', 'which.min'], 'package:gbm': ['gbm', 'gbm.perf'], 'package:rpart': ['rpart'], 'package:stats': ['median', 'predict'], 'package:utils': ['head', 'read.csv', 'write.csv']}"
138,amodi8-titanic-exploring-survival-using-machine-learning,0.764,"{'package:base': ['c', 'data.frame', 'jitter', 'length', 'library', 'prop.table', 'rep', 'round', 'sum', 'summary', 'system', 'table'], 'package:graphics': ['box', 'hist', 'lines', 'rug'], 'package:stats': ['aggregate', 'density'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
139,monikapeteva-who-all-survived-the-titanic-3b45d7,0.793,"{'character(0)': ['grid.layout', 'grid.newpage', 'multiplot', 'pushViewport', 'viewport'], 'package:base': ['as.data.frame', 'as.integer', 'c', 'ceiling', 'data.frame', 'factor', 'is.na', 'is.null', 'length', 'levels', 'library', 'list', 'matrix', 'mean', 'names', 'ncol', 'nrow', 'print', 'rbind', 'rep', 'sample', 'seq', 'set.seed', 'substr', 'sum', 'system', 'table', 'which'], 'package:ggplot2': ['aes', 'geom_bar', 'geom_histogram', 'ggplot'], 'package:randomForest': ['randomForest'], 'package:stats': ['na.omit', 'predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
140,odujokod-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
141,pranavsid-analyzing-the-titanic-disaster,0.788,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'character(0)': ['Titles'], 'package:base': ['as.character', 'as.factor', 'c', 'data.frame', 'grep', 'is.na', 'length', 'library', 'mean', 'nrow', 'return', 'set.seed', 'summary', 'which'], 'package:dplyr': ['summarise'], 'package:randomForest': ['randomForest'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'write.csv']}"
142,srikanthnuka-titanic-not-all-family-specified-on-boarded,0.742,"{'c(""package:ROCR"", ""package:graphics"")': ['plot'], 'character(0)': ['fnScaling'], 'package:base': ['as.character', 'as.factor', 'as.vector', 'c', 'cbind', 'colnames', 'data.frame', 'ifelse', 'is.na', 'lapply', 'library', 'max', 'mean', 'min', 'ncol', 'nrow', 'paste', 'print', 'rbind', 'return', 'round', 'sample', 'seq', 'strsplit', 'sum', 'summary', 'table', 'trimws', 'unlist'], 'package:DMwR': ['knnImputation'], 'package:dplyr': ['group_by', 'left_join', 'mutate_if', 'n', 'summarise'], 'package:dummies': ['dummy.data.frame'], 'package:ggplot2': ['aes', 'element_text', 'facet_grid', 'facet_wrap', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_label', 'ggplot', 'labs', 'scale_fill_manual', 'scale_x_continuous', 'theme', 'theme_grey'], 'package:gridExtra': ['grid.arrange'], 'package:randomForest': ['randomForest'], 'package:ROCR': ['performance', 'prediction'], 'package:stats': ['predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
143,cardoso-titanic-women-and-children-first,0.771,"{'c(""package:mice"", ""package:base"")': ['rbind'], 'c(""package:stats4"", ""package:base"")': ['summary'], 'package:base': ['as.character', 'as.factor', 'c', 'data.frame', 'factor', 'is.na', 'library', 'paste', 'sapply', 'set.seed', 'strsplit', 'sub', 'table', 'which'], 'package:ggplot2': ['aes', 'facet_grid', 'geom_bar', 'geom_density', 'geom_histogram', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous'], 'package:ggthemes': ['theme_few'], 'package:mice': ['md.pattern'], 'package:party': ['cforest', 'cforest_unbiased'], 'package:randomForest': ['randomForest', 'varImpPlot'], 'package:rpart': ['rpart'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
144,alexgomes3-titanic-with-r-datacamp-tutorial,0.774,"{'character(0)': ['fancyRpartPlot'], 'package:base': ['data.frame', 'library', 'list.files', 'nrow'], 'package:graphics': ['plot', 'text'], 'package:rpart': ['rpart', 'rpart.control'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
145,deltaforce126-titanic-randomforest,0.783,"{'package:base': ['c', 'cbind', 'factor', 'is.na', 'library', 'return', 'sapply', 'set.seed', 'summary'], 'package:randomForest': ['importance', 'randomForest'], 'package:ROCR': ['performance', 'prediction'], 'package:stats': ['predict'], 'package:utils': ['head', 'read.csv', 'write.csv']}"
146,rivinwita-exploring-survival-on-the-titanic-test,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
147,pengelinliu-exploring-survival-on-the-titanic-peng,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
148,wjsutton-exploring-surviving-the-titanic,0.79,"{'package:base': ['as.factor', 'as.ordered', 'as.vector', 'c', 'cbind', 'class', 'data.frame', 'dim', 'gsub', 'is.array', 'is.character', 'is.data.frame', 'is.element', 'is.factor', 'is.list', 'is.logical', 'is.matrix', 'is.na', 'is.numeric', 'is.vector', 'length', 'library', 'max', 'mean', 'min', 'names', 'nchar', 'ncol', 'nrow', 'paste', 'paste0', 'print', 'rbind', 'round', 'set.seed', 'shQuote', 'substr', 'sum', 'unique', 'which'], 'package:randomForest': ['randomForest', 'varImpPlot'], 'package:stats': ['predict', 'profile', 'sd'], 'package:stringr': ['str_extract', 'str_locate', 'str_sub'], 'package:utils': ['read.csv', 'write.csv']}"
149,garciparedes-titanic-getting-started,0.776,"{'character(0)': ['columnsToNumeric', 'plotWithLDA', 'plotWithPCA', 'predictData', 'preprocessData', 'regressionAge', 'removedColumnsIndex'], 'package:base': ['as.factor', 'as.matrix', 'as.numeric', 'c', 'cbind', 'colnames', 'dim', 'is.na', 'jitter', 'library', 'ls', 'mean', 'paste', 'rbind', 'rep', 'return', 'rm', 'scale', 'setdiff', 'summary', 'table'], 'package:graphics': ['pairs', 'plot'], 'package:MASS': ['lda'], 'package:stats': ['lm', 'predict', 'princomp'], 'package:utils': ['head', 'read.csv', 'write.csv']}"
150,domini-titanic-data-exploration-and-modelling,0.762,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['any', 'as.data.frame', 'as.factor', 'as.numeric', 'c', 'data.frame', 'factor', 'ifelse', 'is.na', 'length', 'library', 'log', 'nrow', 'rep', 'rm', 'sapply', 'strsplit', 'substring', 'sum', 'summary', 'table'], 'package:dplyr': ['bind_rows', 'group_by', 'mutate', 'summarise'], 'package:ggplot2': ['aes', 'element_text', 'geom_bar', 'geom_boxplot', 'geom_density', 'ggplot', 'ggtitle', 'scale_fill_discrete', 'scale_x_continuous', 'theme'], 'package:graphics': ['hist'], 'package:missForest': ['missForest'], 'package:randomForest': ['randomForest', 'varImpPlot'], 'package:readr': ['read_csv'], 'package:rpart': ['rpart'], 'package:rpart.plot': ['rpart.plot'], 'package:stats': ['cor', 'formula', 'glm', 'median', 'predict', 'step'], 'package:utils': ['head', 'str', 'tail', 'write.csv']}"
151,dylanmj-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
152,pradeeptripathi-prediction-of-titanic-survival-using-random-forest,0.771,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['c', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'summary', 'table', 'which'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'group_by', 'mutate', 'n', 'summarise'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'par', 'plot'], 'package:mice': ['complete', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
